ERA,LAUNCH_YEAR,PRODUCT_NAME,DISTRIBUTOR,CATEGORY,PRODUCT_TYPE,FORMULA,PRICE_USD,SIZE_OZ,PRICE_PER_OZ,SHADE_COUNT,FINISH_FAMILY,PACKAGING_THEME,PKG_SHAPE,PKG_HAS_CHROME,PKG_HAS_NOVELTY,PKG_HAS_MIRROR,HERO_CLAIMS,SOURCE_URL_OR_NOTE,SOURCE_CONFIDENCE,IS_COMPLEXION,IS_COLOR_COSMETICS,PRODUCT_ROLE
revival,2026,Drawn This Way Eyeliner,Coty,Eyes,Eyeliner,Gel,26,0.04,650.00,21,Matte/Metallic/Duochrome,Color-matched pencil; chrome cap with star accessory,pencil,TRUE,TRUE,FALSE,24-hour wear; waterproof; sweatproof; fade-resistant; smudge-proof; tug-free glide; waterline-safe,https://www.marcjacobs.com/us-en/drawn-this-way-eyeliner/2P6BEY000004-002.html,high,FALSE,TRUE,eye_definition
revival,2026,Born Star Eyeshadow,Coty,Eyes,Eyeshadow Single,Cream to Powder,29,0.05,580.00,14,Matte/Metallic/Duochrome,Emerald green star pillow compact; swivel/twist lid; mirror,compact,FALSE,TRUE,TRUE,14-hour wear; crease-free; waterproof; humidity-proof; fallout-free; buildable,https://www.marcjacobs.com/us-en/born-star-eyeshadow/2P6BEY000003-681.html,high,FALSE,TRUE,eye_color
revival,2026,Flashes Mascara,Coty,Eyes,Mascara,Mascara,29,0.22,131.82,3,n/a,Lilac star-shaped tube; chrome lilac star at top,tube,TRUE,TRUE,FALSE,Panoramic volume; intense color; 18-hour wear; smudge-proof; flake-free; removes easily; peptide and clover extract,https://www.marcjacobs.com/us-en/flashes-mascara/2P6BEY000001-974.html,high,FALSE,TRUE,eye_definition
revival,2026,Heart On Lipstick,Coty,Lips,Lipstick,Lipstick,34,0.10,340.00,20,High Shine,Burgundy red heart-shaped tube; metallic heart charm,tube,TRUE,TRUE,FALSE,All-day color; dewy shine; hydrating; cherry oil; hyaluronic acid; biomimetic peptide,https://www.marcjacobs.com/us-en/heart-on-lipstick/2P6BLP000001-666.html,high,FALSE,TRUE,lip_color
revival,2026,Joystick Blush,Coty,Face,Blush,Cream,35,0.21,166.67,10,Natural,Yellow daisy-shaped twist-up stick; chrome pillow daisy at top,stick,TRUE,TRUE,FALSE,Multi-use lip and cheek; buildable; heat/humidity/sweat proof; hydrating; non-comedogenic,https://www.marcjacobs.com/us-en/joystick-blush/2P6BFC000002-665.html,high,TRUE,TRUE,cheek
revival,2026,Legally Bronze Bronzer,Coty,Face,Bronzer,Powder,42,0.38,110.53,9,Natural,Chrome square pillow compact; Marc Jacobs daisy; mirror,compact,TRUE,TRUE,TRUE,Buildable bronzing/sculpting; 10-hour wear; patch/fade/sweat-proof; blurring; non-comedogenic,https://www.marcjacobs.com/us-en/legally-bronze-bronzer/2P6BFC000001-262.html,high,TRUE,TRUE,cheek
revival,2026,Money Shot Highlighter,Coty,Face,Highlighter,Jelly,29,0.17,170.59,1,Shimmer,Clear round jar; chrome round lid,jar,TRUE,FALSE,FALSE,Face/body/eye/lip highlighter; jelly texture; 9-hour wear; no fallout; no white cast; transfer-proof; hyaluronic acid,https://www.marcjacobs.com/us-en/money-shot-highlighter/2P6BFC000003-960.html,high,TRUE,TRUE,cheek
original_launch,2013,Remedy Concealer Pen,Kendo,Face,Concealer,Liquid,39,0.08,487.50,9,Dewy,Patented palladium applicator; black cylinder tube; click to push up product,tube,FALSE,FALSE,FALSE,Brightens; hydrates; soothes; coverage; antioxidants; antiaging ingredients; cooling applicator,https://www.temptalia.com/product/remedy-concealer-pen/,high,TRUE,TRUE,complexion_base
original_launch,2013,Genius Gel Super-Charged Foundation,Kendo,Face,Foundation,Gel,48,1.00,48.00,16,Natural to Full Coverage,"Oblong pill-shaped; opaque glass bottom, black cap",other,FALSE,FALSE,FALSE,Gel performance; buoyancy gel technology; protects and hydrates; coconut water extracts; buildable coverage,https://www.candycoatedclosets.com/blog/2016/03/07/marc-jacobs-genius-gel-super-charged-foundation-review-cocoa-light-cocoa-medium-and-cocoa-deep,high,TRUE,TRUE,complexion_base
original_launch,2013,Perfection Powder Featherweight Foundation,Kendo,Face,Foundation,Powder,39,0.38,102.63,10,Semi-matte,Black square compact with rounded edges; logo engraved in silver; mirror,compact,FALSE,FALSE,TRUE,Patented formula; ultra-lightweight; diffuses flaws; brightens; removes shine; touchups,https://www.temptalia.com/product/marc-jacobs-beauty-perfection-powder-featherweight-foundation/,high,TRUE,TRUE,complexion_base
